NIT,RAZON_SOCIAL,DEPARTAMENTO,MUNICIPIO,CIIU,DESCRIPCION_CIIU
899999068,ECOPETROL S.A,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",0610,Extracción de petróleo crudo
900112515,REFINERIA DE CARTAGENA S.A.,BOLÍVAR,CARTAGENA DE INDIAS,1921,Fabricación de productos de la refinación del petróleo
890100577,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",5111,Transporte aéreo nacional de pasajeros
830095213,ORGANIZACIÓN TERPEL S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
900156264,NUEVA EMPRESA PROMOTORA DE SALUD S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",8430,Actividades de planes de seguridad social de afiliación obligatoria
890904996,EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P. ,ANTIOQUIA,MEDELLÍN,3513,Distribución de energía eléctrica
900276962,D1 S.A.S,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco"
890900608,ALMACENES EXITO S A,ANTIOQUIA,ENVIGADO,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco"
800021308,DRUMMOND LTD,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",0510,Extracción de hulla (carbón de piedra)
860063875,EMGESA S.A. E.S.P.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",3514,Comercialización de energía eléctrica
800153993,COMUNICACIÓN CELULAR S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",6120,Actividades de telecomunicaciones inalámbricas
900480569,JERONIMO MARTINS COLOMBIA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco"
800088702,COMPAÑÍA SURAMERICANA DE SERVICIOS DE SALUD S.A.  SUSALUD MEDICINA PREPAGADA,ANTIOQUIA,MEDELLÍN,8430,Actividades de planes de seguridad social de afiliación obligatoria
890900943,COLOMBIANA DE COMERCIO SA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4741,"Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados"
900818921,KOPPS COMMERCIAL S.A.S,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4632,Comercio al por mayor de bebidas y tabaco
800251440,ENTIDAD PROMOTORA DE SALUD SANITAS S.A.S,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",8430,Actividades de planes de seguridad social de afiliación obligatoria
900531210,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4930,Transporte por tuberías
860002554,PRIMAX COLOMBIA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
860005224,BAVARIA & CIA S.C.A,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",1103,"Producción de malta, elaboración de cervezas y otras bebidas malteadas"
890107487,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,ATLÁNTICO,BARRANQUILLA,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco"
860069804,CARBONES DEL CERREJON LIMITED ,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",0510,Extracción de hulla (carbón de piedra)
800130907,SALUD TOTAL EPS-S S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",8430,Actividades de planes de seguridad social de afiliación obligatoria
830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. - TELEFONICA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",6110,Actividades de telecomunicaciones alámbricas
900585067,"C.I. TRAFIGURA PETROLEUM COLOMBIA S.A.S,","BOGOTÁ, D.C.","BOGOTÁ, D.C.",4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
800251163,OLEODUCTO CENTRAL S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4930,Transporte por tuberías
901380930,AIR-E S.A.S. E.S.P.,ATLÁNTICO,BARRANQUILLA,3514,Comercialización de energía eléctrica
901380949,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,BOLÍVAR,CARTAGENA DE INDIAS,3514,Comercialización de energía eléctrica
800242106,SODIMAC COLOMBIA SA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4774,Comercio al por menor de otros productos nuevos en establecimientos especializados
860005223,CHEVRON PETROLEUM COMPANY,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
811000740,ISAGEN S.A. E.S.P.,ANTIOQUIA,MEDELLÍN,3511,Generación de energía eléctrica
800249860,CELSIA COLOMBIA S.A. E.S.P. ANTES EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.- EPSA,VALLE DEL CAUCA,YUMBO,3513,Distribución de energía eléctrica
900331322,VERANO ENERGY (SWITZERLAND) AG SUCURSAL,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",0610,Extracción de petróleo crudo
860066942,CAJA DE COMPENSACION FAMILIAR COMPENSAR,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",7010,Actividades de administración empresarial
800149695,DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados"
890912462,TAMPA CARGO S.A.S,ANTIOQUIA,RIONEGRO,5111,Transporte aéreo nacional de pasajeros
890903858,INDUSTRIA NACIONAL DE GASEOSAS S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",1104,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas"
900226715,COOPERATIVA EMPRESA SOLIDARIA DE SALUD Y DESARROLLO INTEGRAL 'COOSALUD E.S.S.',BOLÍVAR,CARTAGENA DE INDIAS,8430,Actividades de planes de seguridad social de afiliación obligatoria
830003564,FAMISANAR  LTDA.  CAFAM - COLSUBSIDIO E.P.S.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",8430,Actividades de planes de seguridad social de afiliación obligatoria
830126302,FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",0610,Extracción de petróleo crudo
890704196,AEROVIAS DE INTEGRACION REGIONAL S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",5111,Transporte aéreo nacional de pasajeros
900155107,CENCOSUD COLOMBIA S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco"
900780510,AUTOMOTORES TOYOTA COLOMBIA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4511,Comercio de vehículos automotores nuevos
816001182,AUDIFARMA SA,RISARALDA,PEREIRA,4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
806008394,ASOCIACIÓN MUTUAL SER EMPRESA SOLIDARIA DE SALUD ESS,BOLÍVAR,CARTAGENA DE INDIAS,8430,Actividades de planes de seguridad social de afiliación obligatoria
800007813,VANTI S.A. ESP,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",3520,Producción de gas; distribución de combustibles gaseosos por tuberías
800245746,TERMOBARRANQUILLA S.A. E.S.P.,ATLÁNTICO,SOLEDAD,3511,Generación de energía eléctrica
830136799,BIOMAX BIOCOMBUSTIBLES S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
860016610,INTERCONEXIÓN ELÉCTRICA S.A. E.S.P. - ISA,ANTIOQUIA,MEDELLÍN,3512,Transmisión de energía eléctrica
899999082,GRUPO ENERGÍA DE BOGOTÁ S.A. E.S.P.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",3512,Transmisión de energía eléctrica
860026895,ITALCOL SA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",1090,Elaboración de alimentos preparados para animales
890901271,CONTEGRAL S.A.S.,ANTIOQUIA,ENVIGADO,1090,Elaboración de alimentos preparados para animales
830078038,CERREJON ZONA NORTE S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",0510,Extracción de hulla (carbón de piedra)
811009788,DISTRACOM S.A,ANTIOQUIA,MEDELLÍN,4731,Comercio al por menor de combustible para automotores
890399003,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,VALLE DEL CAUCA,SANTIAGO DE CALI,3514,Comercialización de energía eléctrica
830028931,SAMSUNG ELECTRONICS COLOMBIA S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4652,"Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones"
900493698,GEOPARK COLOMBIA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",0610,Extracción de petróleo crudo
890300466,TECNOQUIMICAS S.A.,VALLE DEL CAUCA,SANTIAGO DE CALI,4669,Comercio al por mayor de otros productos n.c.p.
830025205,AES CHIVOR & CIA SCA ESP,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",3511,Generación de energía eléctrica
900646156,TRAFIGURA MARKETING COLOMBIA S.A.S E.S.P,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
890304130,ALIMENTOS CARNICOS S.A.S,ANTIOQUIA,MEDELLÍN,1011,Procesamiento y conservación de carne y productos cárnicos
890903939,POSTOBON S.A.,ANTIOQUIA,MEDELLÍN,1104,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas"
890100251,CEMENTOS ARGOS S.A,ATLÁNTICO,BARRANQUILLA,2394,"Fabricación de cemento, cal y yeso"
860001697,GASEOSAS LUX SAS,ANTIOQUIA,MEDELLÍN,1104,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas"
900935126,ASMET SALUD EPS SAS,CAUCA,POPAYÁN,8430,Actividades de planes de seguridad social de afiliación obligatoria
900268747,PAREX RESOURCES (COLOMBIA) AG SUCURSAL,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",0610,Extracción de petróleo crudo
